UID,iso2,iso3,code3,FIPS,Admin2,Lat,Combined_Key,Date,Case,Long,Country/Region,Province/State
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-14,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-15,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-16,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-17,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-18,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-19,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-20,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-21,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-22,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-23,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-24,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-25,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-26,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-27,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-28,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-29,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-01,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-02,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-03,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-04,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-05,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-06,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-07,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-08,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-09,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-10,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-11,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-12,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-13,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-14,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-15,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-16,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-17,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-18,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-19,4,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-20,4,-78.74777412,US,New York
